
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
5.5      -31.5    17:45:40.951     -29:00:35.49     2365.64       7.59288       45.7826       1.55265       -39.7769      2.1418        2.56373       0.0777718     -20.4924      0.90257       60.6486       1.82948       1             124          
6.5      -31.5    17:45:40.033     -29:00:35.49     2422.53       10.5212       63.3855       2.37878       -47.0645      3.40154       3.2589        0.115855      -18.2972      1.11664       78.948        2.78561       1             125          
7.5      -31.5    17:45:39.128     -29:00:35.49     2279.76       3.71367       -0.775878     0.744664      -2.9145       0.894862      0.132295      0.0388516     -52.4536      7.17646       3.01601       0.885709      1             126          
8.5      -31.5    17:45:38.210     -29:00:35.48     1977.32       5.81482       -6.41117      0.712508      -4.63169      0.835602      0.399996      0.0383012     -72.077       2.88151       7.90921       0.75698       1             127          
9.5      -31.5    17:45:37.299     -29:00:35.48     834.664       5.12154       -2.69395      1.00012       -4.36011      0.726458      0.614046      0.0972795     -60.8552      5.21272       5.12522       0.811348      1             128          
10.5     -31.5    17:45:36.381     -29:00:35.48     567.462       2.50643       -0.967555     0.858356      -3.24379      0.844663      0.596519      0.149071      -53.3044      7.25499       3.38502       0.84579       1             129          
11.5     -31.5    17:45:35.463     -29:00:35.48     515.397       2.94227       -0.854253     0.853804      -0.159372     0.921534      0.168606      0.166121      -84.7161      30.3076       0.868992      0.856169      1             130          
12.5     -31.5    17:45:34.551     -29:00:35.47     266.601       1.43825       1.48571       0.815881      -0.167458     0.590627      0.560805      0.30513       -3.21542      11.3813       1.49511       0.813442      1             131          
23.5     -31.5    17:45:24.486     -29:00:35.40     80.4374       3.23119       0.949796      0.944933      -0.719305     1.25345       1.48119       1.32878       -18.5688      27.6666       1.19143       1.06776       1             132          
24.5     -31.5    17:45:23.569     -29:00:35.40     181.308       3.3109        3.24907       1.00686       2.03859       1.23224       2.11555       0.594346      16.0529       8.76074       3.83566       1.07532       1             133          
25.5     -31.5    17:45:22.657     -29:00:35.38     204.357       2.38085       1.11432       0.875724      2.91563       1.28706       1.52739       0.608136      34.5418       8.61123       3.12131       1.24223       1             134          
26.5     -31.5    17:45:21.739     -29:00:35.37     282.351       1.69046       -3.15216      1.07456       2.475         1.46391       1.41941       0.438397      70.931        9.49957       4.00771       1.23759       1             135          
27.5     -31.5    17:45:20.828     -29:00:35.36     468.613       3.12215       -3.11228      1.14997       3.93379       1.33266       1.07041       0.270137      64.1749       6.98788       5.01607       1.26545       1             136          
28.5     -31.5    17:45:19.916     -29:00:35.35     482.965       4.05386       -4.10097      1.39745       2.86888       1.32051       1.03627       0.284345      72.5124       7.70612       5.00484       1.37265       1             137          
29.5     -31.5    17:45:18.998     -29:00:35.33     253.616       4.34779       1.71815       1.34837       1.1432        1.13684       0.813719      0.507715      16.8193       16.7372       2.06372       1.28716       1             138          
-9.5     -30.5    17:45:54.675     -29:00:23.48     140.091       1.90553       -3.35166      0.923878      -1.21895      1.40791       2.54579       0.709434      -80.0072      10.9266       3.56643       0.99267       1             139          
-1.5     -30.5    17:45:47.357     -29:00:23.49     406.055       2.7984        6.94587       0.820342      -1.93933      0.973798      1.776         0.205359      -7.80002      3.8276        7.21153       0.832389      1             140          
-0.5     -30.5    17:45:46.446     -29:00:23.51     223.496       2.03265       7.33704       0.936638      -2.923        0.571514      3.53378       0.401952      -10.8609      2.29999       7.89785       0.895469      1             141          
0.5      -30.5    17:45:45.528     -29:00:23.51     211.018       1.39343       9.48646       1.06758       -4.45291      0.854869      4.96619       0.490353      -12.5726      2.45215       10.4796       1.03242       1             142          
1.5      -30.5    17:45:44.610     -29:00:23.51     719.987       4.12988       6.93767       0.82415       -2.76817      1.03937       1.03745       0.119167      -10.8761      3.88334       7.46953       0.856917      1             143          
2.5      -30.5    17:45:43.698     -29:00:23.49     1024.09       4.72083       0.724919      0.86155       -2.53019      0.94104       0.257007      0.0913322     -37.0063      9.44596       2.63199       0.935247      1             144          
3.5      -30.5    17:45:42.780     -29:00:23.49     989.038       1.67556       -1.89389      0.883907      -3.7468       0.666078      0.424479      0.0723768     -58.4075      5.76025       4.19826       0.715799      1             145          
4.5      -30.5    17:45:41.869     -29:00:23.49     1431.94       3.74658       -5.68323      0.72767       -9.54233      0.798272      0.775628      0.0545374     -60.3886      1.92628       11.1065       0.780403      1             146          
5.5      -30.5    17:45:40.951     -29:00:23.49     2426.43       9.99265       49.4095       1.82915       -44.3812      2.61325       2.73716       0.0919338     -20.9656      0.990559      66.4153       2.21387       1             147          
